UF;Código da UF;Município;Código do Município;Nome do Bairro;Código do Bairro;Total;0 a 4 anos;Menos de 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;15 a 17 anos;18 e 19 anos;20 a 24 anos;25 a 29 anos;30 a 39 anos;40 a 49 anos;50 a 59 anos;60 a 69 anos;70 anos ou mais
SP;35;São José dos Campos;3549904;Setor Socioeconômico 01;3549904001;14910;881;154;727;1020;1081;949;596;353;1120;1241;2921;2442;1510;1045;700
SP;35;São José dos Campos;3549904;Setor Socioeconômico 01A;3549904002;18108;1224;242;982;1189;1156;1054;626;428;1155;1381;3631;3038;1949;1360;971
SP;35;São José dos Campos;3549904;Setor Socioeconômico 02;3549904003;40909;2444;454;1990;2712;2799;2815;1682;1133;3245;3159;6198;5783;5354;3855;2545
SP;35;São José dos Campos;3549904;Setor Socioeconômico 02A;3549904004;342;24;5;19;17;24;28;15;13;39;21;53;39;52;31;14
SP;35;São José dos Campos;3549904;Setor Socioeconômico 03;3549904005;16012;754;133;621;917;851;990;604;386;1092;1081;2290;2396;2235;1711;1695
SP;35;São José dos Campos;3549904;Setor Socioeconômico 03A;3549904006;167;8;3;5;8;8;7;X;5;14;11;30;20;13;28;20
SP;35;São José dos Campos;3549904;Setor Socioeconômico 04;3549904007;15544;665;107;558;666;694;839;460;379;1160;1039;2323;2205;1883;2005;2065
SP;35;São José dos Campos;3549904;Setor Socioeconômico 05;3549904008;696;71;16;55;63;75;61;36;25;74;53;102;85;54;43;15
SP;35;São José dos Campos;3549904;Setor Socioeconômico 05A;3549904009;21916;968;190;778;1130;1078;1181;691;490;1532;1646;3186;3299;3101;2415;2380
SP;35;São José dos Campos;3549904;Setor Socioeconômico 07;3549904010;39506;2034;374;1660;2314;2314;2233;1361;872;2711;2847;6542;6211;4887;4076;3337
SP;35;São José dos Campos;3549904;Setor Socioeconômico 08;3549904011;536;42;7;35;49;38;36;22;14;44;34;81;81;62;44;25
SP;35;São José dos Campos;3549904;Setor Socioeconômico 09;3549904012;32782;2051;340;1711;2304;2263;2285;1381;904;2553;2573;5336;5153;4119;2635;1510
SP;35;São José dos Campos;3549904;Setor Socioeconômico 10;3549904013;14260;585;97;488;762;819;913;558;355;921;768;2064;2286;1889;1813;1440
SP;35;São José dos Campos;3549904;Setor Socioeconômico 11;3549904014;21086;1211;227;984;1331;1258;1250;713;537;1499;1551;3649;3186;2906;1859;1386
SP;35;São José dos Campos;3549904;Setor Socioeconômico 12;3549904015;2560;251;47;204;258;184;168;106;62;111;114;646;561;173;52;42
SP;35;São José dos Campos;3549904;Setor Socioeconômico 13;3549904016;13866;1024;204;820;1139;1027;1008;586;422;1289;1228;2345;1964;1568;849;425
SP;35;São José dos Campos;3549904;Setor Socioeconômico 14;3549904017;56532;4016;711;3305;4384;4131;4193;2460;1733;4959;4675;8832;8437;6054;4242;2609
SP;35;São José dos Campos;3549904;Setor Socioeconômico 15;3549904018;33184;1514;271;1243;1797;1942;1847;1143;704;2180;2160;4992;4992;4266;4448;3046
SP;35;São José dos Campos;3549904;Setor Socioeconômico 16;3549904019;27804;1110;207;903;1379;1369;1482;846;636;1986;2046;4216;4292;3644;3115;3165
SP;35;São José dos Campos;3549904;Setor Socioeconômico 17;3549904020;62190;3275;666;2609;3832;3867;3885;2323;1562;4341;4543;10412;10418;7760;5990;3867
SP;35;São José dos Campos;3549904;Setor Socioeconômico 17A;3549904021;38549;2084;392;1692;2298;2198;2314;1345;969;2513;2711;6748;6306;4540;3874;2963
SP;35;São José dos Campos;3549904;Setor Socioeconômico 18;3549904022;23647;1361;268;1093;1443;1364;1343;814;529;1343;1706;4092;4006;2961;2280;1748
SP;35;São José dos Campos;3549904;Setor Socioeconômico 19;3549904023;839;52;9;43;46;59;61;34;27;56;62;133;127;109;69;65
SP;35;São José dos Campos;3549904;Setor Socioeconômico 20;3549904024;13453;796;150;646;1059;975;826;497;329;705;612;1795;2780;2013;1208;684
SP;35;São José dos Campos;3549904;Setor Socioeconômico 25;3549904025;25467;1289;219;1070;1518;1400;1291;797;494;1145;1444;4226;4820;3213;2882;2239
SP;35;São José dos Campos;3549904;Setor Socioeconômico 25A;3549904026;18671;634;102;532;743;701;776;452;324;947;1145;2690;2742;2367;2722;3204
SP;35;São José dos Campos;3549904;Setor Socioeconômico 26;3549904027;3718;242;42;200;285;261;259;159;100;260;309;592;534;457;333;186
SP;35;São José dos Campos;3549904;Setor Socioeconômico 27;3549904028;219;20;X;18;11;19;15;7;8;12;23;26;27;31;23;12
SP;35;São José dos Campos;3549904;Setor Socioeconômico 28;3549904029;16856;741;132;609;898;950;927;597;330;837;987;2321;2968;2258;2051;1918
SP;35;São José dos Campos;3549904;Setor Socioeconômico 29;3549904030;47193;3342;610;2732;3499;3382;3393;2002;1391;3932;4087;7956;6773;5256;3623;1950
SP;35;São José dos Campos;3549904;Setor Socioeconômico 31;3549904031;5447;299;47;252;338;289;385;216;169;452;414;717;746;732;527;548
SP;35;São José dos Campos;3549904;Setor Socioeconômico 06;3549904032;35828;2650;505;2145;2705;2798;2733;1666;1067;3013;2790;6166;5474;3798;2380;1321
SP;35;São José dos Campos;3549904;Setor Socioeconômico 06A;3549904033;11763;958;172;786;1052;1009;1005;639;366;902;831;2064;1851;1107;649;335
SP;35;São José dos Campos;3549904;Setor Socioeconômico 30;3549904034;20613;1263;211;1052;1479;1437;1340;797;543;1430;1377;3352;3183;2567;2000;1185
SP;35;São José dos Campos;3549904;Setor Socioeconômico 21;3549904035;262;17;5;12;18;16;19;12;7;24;22;33;34;42;26;11
